GameId, Board, PlayersHands, MoveNumber, CurrentPlayer-937136906,com.gameEngine.Board@79fc0f2f,;,0,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2 blue|5 red|9 yellow|8;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12 blue|8 blue|4 red|6 black|4 red|7,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2 blue|5 red|9 yellow|8 yellow|7;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12 blue|8 blue|4 red|6 black|4 red|7,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2 blue|5 red|9 yellow|8 yellow|7;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2 blue|5 red|9 yellow|8 yellow|7 yellow|11;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2 blue|5 red|9 yellow|8 yellow|7 yellow|11;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4 blue|11,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4 blue|11,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4 blue|11 red|9,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4 blue|11 red|9,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4 blue|11 red|9 red|5,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4 blue|11 red|9 red|5,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4 blue|11 red|9 red|5 blue|9,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4 blue|11 red|9 red|5 blue|9,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4 blue|11 red|9 red|5 blue|9 red|1,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8;yellow|1 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 blue|8 blue|4 black|4 yellow|4 blue|11 red|9 red|5 blue|9 red|1,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8;blue|3 blue|13 yellow|1 yellow|7 black|12 blue|8 blue|11 red|9 red|5 blue|9 blue|7,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10;blue|3 blue|13 yellow|1 yellow|7 black|12 blue|8 blue|11 red|9 red|5 blue|9 blue|7,1,0
